конфіскувати	-0.6	i
конфлікт	-1.33	a
конфліктний	-0.89	a
концентраційний	-0.33	i
концентрація	-0.33	i
концтабір	-1.33	f
копійка	-0.5	i
копійчаний	-0.67	i
корисливий	-1.0	i
корумпувати	-1.33	i
корупційний	-1.33	i
корупціонер	-1.0	i
корупція	-1.33	i
корявий	-1.0	i
кошмар	-1.33	f
кошмарний	-1.33	f
коштовний	-0.67	i
крадіжка	-1.4	i
країна	-0.11	i
крайній	-0.43	i
крайність	-0.33	i
крапельниця	-0.67	s
красти	-1.67	i
крах	-1.67	s
кредит	-0.67	i
кредитний	-0.33	i
кредитор	-0.33	i
кремувати	-0.33	i
кривавий	-1.5	f
кривдник	-0.89	s
криза	-1.0	i
кризовий	-1.0	i
крик	-0.75	f
крикливий	-1.0	i
кримінал	-1.0	i
криміналістичний	-0.89	i
кримінальний	-1.33	i
криміногенний	-1.11	i
критикувати	-0.67	i
критичний	-0.33	
крихітний	-0.67	i
крихкий	-1.0	i
кричущий	-1.33	i
кровожерливий	-2.0	f
кровопролитний	-1.33	f
кровопролиття	-1.67	f
кровотеча	-1.11	f
крутитися	-0.11	i
ксенофобія	-1.0	i
кулемет	-0.33	a
кульгати	-1.33	i
куля	-0.67	f
купка	-0.67	i
куратор	-0.4	i
куртуазний	-1.0	i
кухарка	-1.0	i
лавиноподібний	-0.33	i
лайливий	-1.0	a
ламати	-1.33	i
ламатися	-0.67	i
латентний	-0.44	i
лаятися	-0.89	a
легковажний	-1.0	i
легковірний	-1.11	i
ледар	-1.33	i
ледачий	-1.0	i
лезгінка	-0.44	i
летальний	-0.33	i
лженаука	-1.33	i
липовий	-1.67	i
листівка	-0.33	i
лихий	-0.25	a
лихо	-1.44	s
лихоманка	-0.89	i
лицемірний	-1.11	i
лицемірно	-1.33	i
ліберал	-0.33	i
лібералізація	-0.33	i
лівійський	-0.33	i
лікарня	-0.33	i
лікарняний	-0.33	i
ліквідація	-0.75	i
ліквідувати	-0.33	i
лопнути	-1.0	i
лохів	-0.67	i
лояльний	-0.33	i
лузер	-1.78	a
лукавий	-1.0	i
лукавити	-0.67	i
лунати	-0.25	i
людиноненависницький	-1.87	a
людожер	-1.33	f
людський	-0.11	i
лютий	-1.33	a
лють	-1.67	a
лякати	-0.75	f
ляп	-1.25 i
м'якотілих	-1.0 s
м`ясопродукт	-0.67 i
мажор	-1.4 a
мажорний	-1.0 a
маленький	-0.33 s
малесенький	-0.33 s
маловажний	-0.5 i
маловивчений	-0.67 i
малограмотний	-875.0 i
малодоступний	-0.67 i
малоефективний	-0.67 i
малозначний	-0.33 i
малоосвічений	-0.67 s
малоцікавий	-1.0 i
малуватий	-0.67 i
маніакальний	-0.67 a
маніпулювати	-0.8 a
маніпуляція	-0.67 f
манірний	-0.67 f
маніфестант	-0.33 i
маніфестація	-0.33 i
маразматичний	-1.4 f
маргінал	-1.0 i
маргінальний	-0.33 i
маріонетка	-1.33 f
марксистський	-0.2 s
мармуровий	-0.11 i
марний	-1.0 f
марність	-1.33 f
марнославство	-1.0 i
масовий	-0.5 f
матеріальний	-0.4 i
мафіозний	-1.0 a
мафія	-0.67 a
межа	-0.11 f
меморіальний	-0.11 f
менінгіт	-1.22 s
меншість	-0.67 s
мерзенний	-2.0 a
мерзота	-2.0 a
меркантильний	-1.0 a
мертвий	-1.67 f
мертвонароджений	-1.5 f
меценат	-0.33 i
мильний	-0.5 i
мимоволі	-0.67 i
миш'як	-0.625 f 
міграційний	-0.33 i
мізерний	-0.5 s
міліція	-0.33 i
мільйон	-0.11 i
мільярдний	-0.33 i
мінарет	-0.11 i
міномет	-0.5 f
мінометний	-0.2 f
мінус	-0.4 i
мірка	-0.33 i
міркування	-0.25 i
містечковий	-0.89 i
мітинг	-0.2 f
мітингувати	-0.33 f
міфічний	-0.67 i
мішанина	-1.33 f
млявий	-1.0 s
множинний	-0.67 i
мобілізація	-0.22 f
мова	-0.33 i
мовляв	-0.33 i
мовчазний	-0.44 f
могила	-0.78 f
могильний	-0.33 f
моджахед	-0.67 i
монархічний	-0.33 i
моніторинг	-0.11 i
монополія	-0.33 i
монстр	-1.0 f
мораторій	-0.33 i
моторошний	-1.25 f
мочити	-1.17 i
мракобісний	-2.0 a
мракобісся	-1.5 a
мстивий	-1.33 a
мститися	-1.0 a
мука	-1.0 a
мусульманський	-0.11 f
мутний	-0.67 f
мучити	-0.67 a
мюнхенський	-0.67 i
набирати	-0.67 i
набіг	-0.5 f 
набігати	-0.22 f
набридати	-1.0 s
нав'язливий	-1.0 s
нав'язування	-1.67 s
навала	-0.33 i
навертати	-0.5 i
навиворіт	-0.5 i
навішувати	-0.83 i
навмисний	-1.0 a
навтьоки	-1.0 i
нагадувати	-1.0 i
наганяти	-0.67 f
наглядач	-0.5 f
наговорювати	-1.0 s
награбувати	-1.67 i
надгробок	-0.67 f
надзвичайний	-1.33 i 
надлишковий	-1.33 i
надмірність	-1.0 i
надриватися	-1.33 s
надуманий	-1.0 f
надходження	-0.11 i
наживатися	-1.33 s
назбирати	-0.33 i
назва	-0.2 i
назрівати	-0.4 i
наївний	-1.0 s
наїзд	-0.89 a
найманий	-0.33 i
наказувати	-0.5 a
накидатися	-1.22 a
наклеп	-1.33 s
наклепницький	-1.0 s
